,protocol,threads,zipf,table_partition,commit,abort,operation,memory,latency_50,latency_75,latency_95,latency_99
0,Calvin,36,0.9,9973,74466.20278,0.0,84295741.54671,2440108532.6875,349.3,538.0,830.7,1030.4
1,AriaFB,36,0.9,9973,246377.57942,186053.09532,279085473.01297003,8073300522.84702,193.4,207.3,274.2,426.7
2,Sparkle,36,0.9,9973,263935.08594,129709.86602999996,430542888.46134007,8648624895.91796,111.8,141.6,212.9,411.8
3,SpectrumNoPartial,36,0.9,9973,313221.92061,106882.18901,465101208.48085004,0.0,91.5,122.6,179.4,286.0
4,Spectrum,36,0.9,9973,384537.76872,145632.43651000006,464218434.17614996,13580984683.38522,78.6,91.7,122.5,172.2
5,SpectrumPreSched,36,0.9,9973,363842.05356000003,120038.65105999997,437338418.67214,12832746144.499119,83.9,98.1,129.0,184.3
6,Calvin,36,1.0,9973,46443.210380000004,0.0,52573714.14713,1521851117.6439998,759.4,1072.6,1503.3,1778.9
7,AriaFB,36,1.0,9973,188130.19682,179147.37265999994,213142530.17873996,6164650289.56669,272.5,352.9,521.7,793.9
8,Sparkle,36,1.0,9973,139146.05725,240808.0529,398758708.34712005,4559538004.41358,216.6,291.0,477.4,879.8
9,SpectrumNoPartial,36,1.0,9973,137095.72381000002,162185.32309,321243192.37933004,0.0,180.5,314.2,768.6,1279.6
10,Spectrum,36,1.0,9973,220881.7907,236865.26437999992,300049477.36202997,7960135514.98678,126.5,194.3,349.3,639.8
11,SpectrumPreSched,36,1.0,9973,243195.40548000002,224693.40894999998,325734926.7106501,8728487113.755001,129.2,160.3,217.0,275.4
12,Calvin,36,1.1,9973,30774.366650000004,0.0,34836583.054579996,1008414446.5837,1230.6,1681.2,2160.7,2486.9
13,AriaFB,36,1.1,9973,120533.40116000001,119960.16144000001,136563770.27218,3949638489.1422005,487.9,581.5,780.1,1107.4
14,Sparkle,36,1.1,9973,20186.40437,137038.51843999996,157494185.25542,661468097.9752901,2376.9,3891.4,6643.9,9313.9
15,SpectrumNoPartial,36,1.1,9973,57865.513288888884,267237.7704555556,330116172.6714667,0.0,620.8888888888889,963.4444444444445,1798.5555555555557,2936.3333333333335
16,Spectrum,36,1.1,9973,100709.54113,293246.56120999996,185437942.6708,3841835229.5755205,312.9,462.7,796.2,1279.2
17,SpectrumPreSched,36,1.1,9973,108163.57456999998,266616.66915000003,189386577.62041998,4072957175.8022795,272.5,465.5,823.9,1318.8
18,Calvin,36,1.2,9973,24553.852609999998,0.0,27794961.152450003,804580642.26432,1579.7,2123.0,2646.2,2932.7
19,AriaFB,36,1.2,9973,103984.54222999999,103940.88987,117814442.70557001,3407365480.1214104,518.5,626.3,825.3,1100.8
20,Sparkle,36,1.2,9973,8273.103019999999,155177.77826,156684170.82881,271093039.78855,4911.5,6603.3,9454.6,12142.0
21,SpectrumNoPartial,36,1.2,9973,21263.014329999998,274164.88197999995,285179183.88774,0.0,2014.7,2651.3,3793.1,4757.7
22,Spectrum,36,1.2,9973,26787.957320000005,184248.65291999996,79088610.10574001,1150562898.7897801,1420.5,2134.9,3546.5,5015.9
23,SpectrumPreSched,36,1.2,9973,63181.52890000001,342553.15446,160608685.41991,2601594637.90193,604.3,839.7,1433.5,2080.7
24,Calvin,36,1.3,9973,22272.203899999997,0.0,25212134.82229,729815577.61166,1752.5,2349.5,2895.2,3150.9
25,AriaFB,36,1.3,9973,95630.92431999999,95625.06787000003,108349831.38358998,3133634127.6968102,460.0,645.2,1016.5,1382.7
26,Sparkle,36,1.3,9973,4619.578060000001,131220.53777,124873478.47590001,151374334.04597002,9063.2,10948.4,14007.5,16184.2
27,SpectrumNoPartial,36,1.3,9973,7656.1376,164986.1432111111,163114720.67048886,0.0,5400.0,6633.666666666667,8902.888888888889,10894.333333333334
28,Spectrum,36,1.3,9973,20470.903510000004,236414.41598999998,87156865.52716,1000144922.82742,2328.0,3070.5,4425.7,5758.1
29,SpectrumPreSched,36,1.3,9973,44760.814790000004,370775.1626599999,147247313.53918,2002244358.29835,932.3,1275.7,2005.9,2803.1
