,protocol,threads,zipf,window size,average commit,average abort,average cascade abort,average operations,revert length,original revert length,partial abort 0,partial abort 1,partial abort 2,partial abort 3,partial abort 4,partial abort 5,partial abort 6,partial abort 7,partial abort 8,partial abort 9,partial abort 10,revert
0,sparkle partial,,0.8999999999999999,,,,,2212.0399297910476,0,0,,,,,,,,,,,,original
1,sparkle partial,,0.9999999999999999,,,,,7825.580232391895,0,0,,,,,,,,,,,,original
2,sparkle partial,,1.0999999999999999,,,,,14949.007124785181,0,0,,,,,,,,,,,,original
3,sparkle partial,,1.2,,,,,19640.261295283803,0,0,,,,,,,,,,,,original
4,sparkle partial,,1.3,,,,,22133.722830795294,0,0,,,,,,,,,,,,original
5,sparkle partial,,0.90001,,,,,289.47129431492704,0,0,,,,,,,,,,,,revert
6,sparkle partial,,1.00001,,,,,976.0820164653258,0,0,,,,,,,,,,,,revert
7,sparkle partial,,1.1000100000000002,,,,,1678.2321010030405,0,0,,,,,,,,,,,,revert
8,sparkle partial,,1.20001,,,,,2000.8665888479761,0,0,,,,,,,,,,,,revert
9,sparkle partial,,1.30001,,,,,2000.8665888479761,0,0,,,,,,,,,,,,revert
